Algoritmo,Tamanio,Condicion,Tiempo(ms)
GnomeSort,10,desordenado,0.9265
GnomeSort,10,ordenado,0.0017
GnomeSort,50,desordenado,0.0351
GnomeSort,50,ordenado,0.0014
GnomeSort,100,desordenado,0.1339
GnomeSort,100,ordenado,0.0023
GnomeSort,500,desordenado,3.054
GnomeSort,500,ordenado,0.007
GnomeSort,1000,desordenado,1.345
GnomeSort,1000,ordenado,0.0067
GnomeSort,2000,desordenado,2.6761
GnomeSort,2000,ordenado,0.008
GnomeSort,3000,desordenado,6.0758
GnomeSort,3000,ordenado,0.0048
MergeSort,10,desordenado,1.1707
MergeSort,10,ordenado,0.0058
MergeSort,50,desordenado,0.0272
MergeSort,50,ordenado,0.0246
MergeSort,100,desordenado,0.061
MergeSort,100,ordenado,0.0539
MergeSort,500,desordenado,0.0889
MergeSort,500,ordenado,0.0424
MergeSort,1000,desordenado,0.1393
MergeSort,1000,ordenado,0.0678
MergeSort,2000,desordenado,0.2309
MergeSort,2000,ordenado,0.1578
MergeSort,3000,desordenado,0.3761
MergeSort,3000,ordenado,0.2369
QuickSort,10,desordenado,1.1637
QuickSort,10,ordenado,0.0037
QuickSort,50,desordenado,0.0122
QuickSort,50,ordenado,0.0399
QuickSort,100,desordenado,0.0557
QuickSort,100,ordenado,0.1311
QuickSort,500,desordenado,0.059
QuickSort,500,ordenado,0.381
QuickSort,1000,desordenado,0.0581
QuickSort,1000,ordenado,1.2937
QuickSort,2000,desordenado,0.1189
QuickSort,2000,ordenado,5.2313
QuickSort,3000,desordenado,0.8219
QuickSort,3000,ordenado,13.7389
RadixSort,10,desordenado,1.2268
RadixSort,10,ordenado,0.0076
RadixSort,50,desordenado,0.0169
RadixSort,50,ordenado,0.0235
RadixSort,100,desordenado,0.0322
RadixSort,100,ordenado,0.027
RadixSort,500,desordenado,0.1743
RadixSort,500,ordenado,0.1576
RadixSort,1000,desordenado,0.249
RadixSort,1000,ordenado,0.276
RadixSort,2000,desordenado,0.5132
RadixSort,2000,ordenado,0.479
RadixSort,3000,desordenado,0.4608
RadixSort,3000,ordenado,0.3079
HeapSort,10,desordenado,1.359
HeapSort,10,ordenado,0.0047
HeapSort,50,desordenado,0.0482
HeapSort,50,ordenado,0.0555
HeapSort,100,desordenado,0.0346
HeapSort,100,ordenado,0.0133
HeapSort,500,desordenado,0.0701
HeapSort,500,ordenado,0.0845
HeapSort,1000,desordenado,0.1455
HeapSort,1000,ordenado,0.151
HeapSort,2000,desordenado,0.3242
HeapSort,2000,ordenado,0.3966
HeapSort,3000,desordenado,0.5046
HeapSort,3000,ordenado,0.4412
